id, type, attributes
779, male4, cap / eyepatch
780, female1, wildblonde / bigshades
781, male3, frontbearddark / earring / policecap / regularshades
782, female3, blondebob / classicshades
783, male3, mohawk / hornedrimglasses
784, male3, silverchain / mohawkthin / medicalmask / 3dglasses
785, green, earring / frumpyhair
786, male3, normalbeard / earring / vampirehair
787, green, shadowbeard / earring / capforward
788, male3, mole / earring / mohawkthin / clowneyesgreen
789, female3, cap
790, female3, cap / hornedrimglasses
791, blue, shadowbeard / earring / mohawkdark / lasereyes gold
792, male3, bandana / clowneyesblue
793, green, shadowbeard / purplehair
794, green, headband / clownnose
795, greenfemale, hotlipstick / crazyhair / blueeyeshadow
796, female3, purplelipstick / bandana / classicshades
797, green, bandana / cigarette
798, male1, spots
799, male3, mole / fedora
800, male3, crazyhair / classicshades
801, male3, shavedhead / lasereyes gold
802, male4, hoodie / eyepatch
803, male1, messyhair / nerdglasses
804, male1, messyhair / vape
805, male3, shadowbeard / mohawkthin
806, green, mohawk / clownnose
807, male1, handlebars / earring / cap
808, male3, shadowbeard / earring / peakspike
809, male1, earring / shavedhead
810, male3, frontbeard / hoodie / clowneyesblue
811, male3, frontbeard / earring / stringyhair
812, green, mohawkdark / clowneyesgreen
813, female3, wildwhitehair
814, green, earring / knittedcap / 3dglasses
815, female3, blondebob / cigarette
816, male4, mole / cap
817, male1, muttonchops / wildhair
818, greenfemale, earring / wildblonde / clowneyesgreen
819, male3, shadowbeard / headband / pipe / 3dglasses
820, green, mohawkthin / cigarette
821, green, policecap / bigshades
822, female1, blondebob / 3dglasses
823, male3, frontbeard / regularshades
824, male1, beanie / nerdglasses
825, female3, purplelipstick / rosycheeks / earring / wildhair
826, female4, blacklipstick / messyhair
827, male3, tophat / vr
828, female3, hotlipstick / stringyhair
829, female3, hotlipstick / mohawk
830, female3, hotlipstick / earring / wildblonde
831, female4, purplelipstick / halfshaved
832, female1, redmohawk / cigarette
833, male1, shadowbeard / crazyhair
834, greenfemale, straighthairblonde / cigarette
835, female1, earring / stringyhair / clowneyesblue
836, green, frontbearddark / knittedcap
837, female3, blacklipstick / redmohawk
838, female3, pilothelmet
839, female4, mole / frumpyhair / purpleeyeshadow
840, male1, mustache / mohawkdark / cigarette
841, green, goat / earring / mohawk
842, gold, purplehair / nerdglasses
843, female3, purplelipstick / earring / pilothelmet / cigarette
844, female1, stringyhair / purpleeyeshadow
845, female3, headband / clowneyesgreen
846, male3, earring / headband / lasereyes gold
847, male3, mohawkthin / clownnose
848, male3, mustache / messyhair / classicshades
849, green, knittedcap
850, male3, bandana / regularshades
851, green, tophat
852, male3, goat / dorag / classicshades
853, blue, mustache / knittedcap / regularshades
854, male1, earring / messyhair
855, female4, bandana / eyepatch
856, male3, capforward / regularshades
857, female3, purplelipstick / tasslehat / clowneyesgreen
858, greenfemale, straighthairblonde / clowneyesgreen
859, male1, chinstrap / knittedcap / vr
860, male3, normalbeard / cowboyhat
861, female1, straighthair
862, male1, mole / silverchain / cowboyhat / cigarette
863, female4, blacklipstick
864, male4, bandana / nerdglasses
865, greenfemale, hotlipstick / earring / mohawkthin / purpleeyeshadow
866, female4, purplelipstick / straighthair / clowneyesgreen
867, female4, blacklipstick / blondeshort / cigarette / clowneyesblue
868, female3, silverchain / frumpyhair
869, male1, frontbearddark / bandana / lasereyes gold
870, female3, blondeshort
871, green, wildhair / regularshades
872, greenfemale, hotlipstick / wildblonde / vape
873, male3, mustache / mohawkdark / eyepatch
874, female1, earring / wildhair / cigarette / regularshades
875, greenfemale, earring / wildwhitehair / regularshades
876, female1, mole / tasslehat
877, male3, luxuriousbeard / earring / hoodie
878, green, muttonchops / capforward
879, green, handlebars / earring / purplehair / classicshades
880, green, earring / stringyhair
881, male3, dorag / lasereyes gold
882, male3, mohawkdark / cigarette
883, greenfemale, blacklipstick / earring / pilothelmet
884, female3, purplelipstick / earring / mohawkdark
885, skeleton, silverchain / knittedcap
886, greenfemale, darkhair / blueeyeshadow
887, male3, shadowbeard / mohawkdark
888, greenfemale, straighthairdark / clowneyesblue
889, male1, mole / shadowbeard / mohawkdark
890, green, shadowbeard / shavedhead / vr
891, male1, shadowbeard / earring / tophat
892, green, earring / capforward
893, female4, earring / messyhair
894, female4, earring / frumpyhair
895, male3, muttonchops / dorag / 3dglasses
896, male3, goldchain / peakspike
897, male3, muttonchops / cap / cigarette
898, female1, blondebob / purpleeyeshadow
899, male1, headband / nerdglasses
900, male3, frontbeard / messyhair / lasereyes gold
901, female1, hotlipstick / tasslehat / cigarette
902, male1, shadowbeard / earring / messyhair / nerdglasses
903, male3, cap / medicalmask / hornedrimglasses
904, greenfemale, hotlipstick / halfshaved / vape / hornedrimglasses
905, male1, mustache / bandana
906, male3, mole / crazyhair
907, female1, hotlipstick / clownhairgreen
908, orc, messyhair / pipe
909, green, stringyhair / nerdglasses
910, male3, chinstrap / earring / headband
911, male4, shadowbeard / shavedhead
912, female1, straighthairblonde / cigarette / purpleeyeshadow
913, blue, fedora
914, female1, cap / bigshades
915, green, frontbearddark / cowboyhat
916, female3, headband
917, greenfemale, earring / mohawk / cigarette
918, green, rosycheeks / hoodie / vape
919, male3, muttonchops / messyhair
920, gold, chinstrap / earring / vampirehair / vr
921, female3, earring / redmohawk / cigarette / regularshades
922, female3, straighthairblonde / hornedrimglasses
923, male1, shadowbeard / mohawkthin
924, male3, luxuriousbeard / earring / hoodie / 3dglasses
925, male3, muttonchops / earring / peakspike / vape / bigshades
926, male3, mole / stringyhair
927, female1, blacklipstick / blondebob / clowneyesblue
928, green, silverchain / frontbeard / headband / classicshades
929, greenfemale, blondeshort
930, green, purplehair / eyepatch
931, female1, pilothelmet
932, male1, luxuriousbeard / earring / bandana
933, male1, mustache / wildhair
934, female4, mohawk
935, male1, mohawkdark / regularshades
936, male3, mole / earring / dorag
937, female4, messyhair
938, green, frontbearddark / earring / stringyhair
939, green, earring / hoodie / vr
940, green, handlebars / headband / nerdglasses
941, male1, mohawkdark / cigarette / eyepatch
942, male1, headband / eyemask
943, male1, cowboyhat
944, female3, purplelipstick / orangeside
945, male3, cowboyhat / bigshades / clownnose
946, male1, frontbeard / wildhair / classicshades
947, male1, normalbeardblack / mohawkdark
948, female3, tasslehat / 3dglasses
949, female4, pigtails / blueeyeshadow
950, green, luxuriousbeard / knittedcap
951, female4, tasslehat
952, greenfemale, mole / earring / straighthairdark / eyepatch
953, green, normalbeardblack / shavedhead
954, female4, earring / frumpyhair / nerdglasses
955, blue, earring / vampirehair
956, male1, peakspike / lasereyes gold
957, male3, goat
958, male3, mohawkdark / eyemask
959, skeleton, normalbeardblack / earring / policecap / pipe
960, greenfemale, purplelipstick / earring / straighthairblonde / clowneyesblue
961, male4, mole / headband
962, demon, policecap / eyemask
963, female4, cap / eyemask
964, male1, luxuriousbeard / earring / headband
965, male3, earring / purplehair / clowneyesblue
966, female3, purplelipstick / mole / earring / redmohawk
967, male3, earring / dorag / vr
968, green, cap
969, male3, shadowbeard / capforward
970, green, muttonchops / vampirehair
971, female4, hotlipstick / redmohawk
972, green, crazyhair / vr
973, male1, bigbeard / earring / peakspike
974, female1, hotlipstick / bandana / classicshades
975, male4, normalbeard / knittedcap
976, greenfemale, straighthairblonde / regularshades
977, female3, purplelipstick / tasslehat
978, male4, wildhair
979, male3, luxuriousbeard / messyhair / lasereyes gold
980, greenfemale, blacklipstick / mohawkdark
981, green, chinstrap / earring / peakspike
982, female1, wildblonde / nerdglasses
983, greenfemale, purplelipstick / messyhair
984, greenfemale, earring / messyhair
985, greenfemale, blondebob / bigshades
986, gold, normalbeardblack / earring / peakspike
987, zombie, wildhair / hornedrimglasses
988, female3, hotlipstick / redmohawk
989, green, mustache / shavedhead
990, greenfemale, purplelipstick / stringyhair
991, greenfemale, blacklipstick / tasslehat / clowneyesblue
992, female4, redmohawk / purpleeyeshadow
993, male3, mole / earring / messyhair / hornedrimglasses
994, female4, blacklipstick / spots / knittedcap / vape
995, green, frontbeard / earring / bandana / hornedrimglasses
996, female3, cap / cigarette / purpleeyeshadow
997, female3, straighthairdark / hornedrimglasses
998, male1, buckteeth / normalbeard / stringyhair / hornedrimglasses
999, male1, normalbeard / headband / pipe
1000, female1, rosycheeks / darkhair / cigarette
1001, green, luxuriousbeard / peakspike / nerdglasses
1002, male4, mohawkdark
1003, male3, frumpyhair / nerdglasses
1004, female1, blacklipstick / messyhair
1005, male3, purplehair / regularshades
1006, male1, wildhair / regularshades
1007, male3, earring / vampirehair / regularshades
1008, male1, luxuriousbeard / earring / capforward
1009, male3, luxuriousbeard / cap
1010, female3, earring / pinkwithhat / classicshades
1011, female4, earring / stringyhair
1012, green, mohawkthin / eyepatch
1013, male4, fedora / clowneyesgreen
1014, male1, luxuriousbeard / capforward
1015, female1, silverchain / messyhair
1016, green, buckteeth / normalbeard / headband / hornedrimglasses
1017, male1, mole / goat / tophat
1018, male3, frontbeard / tophat
1019, blue, chinstrap / headband / regularshades
1020, male4, goldchain / stringyhair / cigarette / eyepatch
1021, ape, cap / eyepatch
1022, green, mole / mohawkthin
1023, female1, hotlipstick / headband
1024, female1, hotlipstick / earring / wildhair / clowneyesblue
1025, green, earring / bandana
1026, green, mole / peakspike / clowneyesblue
1027, male1, handlebars / hoodie / eyemask
1028, male3, mohawkthin / bigshades
1029, male1, mustache / hornedrimglasses
1030, green, muttonchops / fedora
1031, green, capforward / lasereyes gold
1032, female3, straighthairdark / nerdglasses
1033, female3, hotlipstick / messyhair
1034, green, normalbeardblack / earring / hoodie / bigshades
1035, female1, blacklipstick / wildhair
1036, male3, mohawkthin / classicshades
1037, greenfemale, orangeside / blueeyeshadow
1038, female3, purplelipstick / wildblonde / regularshades
1039, female1, hotlipstick / messyhair / clowneyesblue
1040, female1, earring / mohawkdark
1041, female4, hotlipstick / mohawk / vape / purpleeyeshadow
1042, female3, halfshaved / classicshades
1043, greenfemale, purplelipstick / tasslehat / regularshades
1044, male3, normalbeard / vr
1045, male4, earring / shavedhead
1046, greenfemale, hotlipstick / earring / wildblonde
1047, male3, mohawkdark
1048, green, frontbearddark / stringyhair
1049, gold, crazyhair
1050, greenfemale, 
1051, female3, hotlipstick / mole / tasslehat
1052, female1, purplelipstick / earring / bandana
1053, male4, bigbeard / capforward / nerdglasses
1054, male3, goat / earring / stringyhair
1055, female4, hotlipstick / wildblonde / hornedrimglasses
1056, male1, handlebars / peakspike
1057, green, frontbearddark / messyhair
1058, male3, normalbeardblack / headband
1059, green, earring / frumpyhair / bigshades
1060, male3, cowboyhat / eyemask
1061, male3, messyhair / classicshades
1062, green, shadowbeard / crazyhair / cigarette
1063, male1, shadowbeard / peakspike
1064, male3, frontbeard / wildhair
1065, female3, earring / crazyhair
1066, male1, frumpyhair / lasereyes gold
1067, male4, frontbeard / mohawk / hornedrimglasses
1068, green, bigbeard / mohawk
1069, male3, cap
1070, greenfemale, earring / pinkwithhat
1071, female1, purplelipstick / stringyhair
1072, male3, chinstrap / stringyhair / eyemask
1073, greenfemale, purplelipstick / mohawkdark / clowneyesblue
1074, male3, normalbeardblack / cowboyhat
1075, male1, chinstrap / earring / cap / bigshades
1076, greenfemale, halfshaved / clowneyesblue
1077, male3, mustache / mohawkdark
1078, green, hoodie / eyemask
1079, male1, purplehair
1080, male3, hoodie / classicshades
1081, female3, frumpyhair / cigarette / blueeyeshadow
1082, female4, wildblonde
1083, greenfemale, earring / straighthairblonde / vr
